"Guid","AnnualRevenue","Assetphone__c","City","Company","Country","Description","Email","EmailBouncedReason","FirstName","GeocodeAccuracy","Industry","IsConverted","IsUnreadByOwner","Jigsaw","LastName","Latitude","LeadSource","Longitude","NumberOfEmployees","Phone","PostalCode","Rating","Salutation","State","Status","Street","Test_checkbox__c","Test_currency__c","Test_dateFields__c","Textfield__c","Title","Website"
01be026f-9d8a-47df-9cb2-604bd05aa868,"#N/A","#N/A","#N/A",Rob Test Account 1,"#N/A","#N/A","#N/A","#N/A",Rob,"#N/A","#N/A",false,true,"#N/A",Test Lead 1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
06d36913-60a2-4700-804e-4ee7d0e4fea5,"#N/A","#N/A","#N/A",any,"#N/A","#N/A","#N/A","#N/A",Nov1,"#N/A","#N/A",false,false,"#N/A",1111,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
0daa00c1-ed8e-40c3-813d-92afc3b058af,"#N/A","#N/A","#N/A",Test Pvt Ltd 2,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead 1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
10f14403-39ed-4804-bcf1-aa8b3d0db71a,"#N/A","#N/A","#N/A",Test,"#N/A","#N/A",test@gmail.com,"#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Test,"#N/A","#N/A","#N/A","#N/A",09090909,"#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A",Testing,"#N/A"
340dddad-adc7-4b85-868a-d7324d833586,"#N/A","#N/A","#N/A",Test Pvt Ltd,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
34fd7ca6-4040-4204-b0c8-631051f613e0,16867.0,"#N/A",Marlborough,3C Systems,United States,"#N/A",info@salesforce.com,"#N/A",John,"#N/A",Aerospace & Defense,false,true,"#N/A",Gardner,"#N/A",Other,"#N/A",87200,(555) 555-1212,1752,"#N/A",Mr.,Massachusetts,New,1 Boston Rd,false,"#N/A","#N/A","#N/A",Exec VP,"#N/A"
35c6a590-ebb9-4992-a1f3-f9f13bf7109c,"#N/A","#N/A","#N/A",abc,"#N/A","#N/A","#N/A","#N/A",1,"#N/A","#N/A",false,true,"#N/A",2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
3ddb744c-a873-4c3a-b38f-6772f8350fe1,"#N/A","#N/A","#N/A",123,"#N/A","#N/A","#N/A","#N/A",Any,"#N/A","#N/A",false,false,"#N/A",new,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
48d5a3b1-3d30-4be6-85f4-e008bba07203,"#N/A","#N/A","#N/A",Test,"#N/A","#N/A",test@gmail.com,"#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Test,"#N/A","#N/A","#N/A","#N/A",09090909,"#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A",Testing,"#N/A"
4bb7c84f-4931-4e07-a226-8353c4cbcc96,"#N/A","#N/A","#N/A",test1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,"#N/A",test1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
51aa9e9e-b975-4dd1-ac8d-4995532e3816,"#N/A","#N/A","#N/A",abc,"#N/A","#N/A","#N/A","#N/A",1,"#N/A","#N/A",false,true,"#N/A",2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
5702e8d9-a3c4-44a8-9995-cd6c5c271c8d,"#N/A","#N/A","#N/A",123,"#N/A","#N/A","#N/A","#N/A",Any,"#N/A","#N/A",false,false,"#N/A",new,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
